time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
20.2500,72.2300,90.8960,86.2700,90.8960,89.2760
20.3333,72.2120,90.9860,86.3240,90.9860,89.2940
20.4167,72.1760,91.0760,86.3780,91.0760,89.2940
20.5000,72.1580,91.1480,86.4320,91.1480,89.3120
20.5833,72.1400,91.2380,86.4680,91.2380,89.3120
20.6667,72.1220,91.3280,86.5220,91.3280,89.3300
20.7500,72.1040,91.4180,86.5760,91.4180,89.3300
20.8333,72.0680,91.5080,86.6300,91.5080,89.3480
20.9167,72.0500,91.5800,86.6840,91.5800,89.3480
21.0000,72.0320,91.6700,86.7200,91.6700,89.3480
21.0833,72.0140,91.7600,86.7740,91.7600,89.3660
21.1667,71.9960,91.8500,86.8280,91.8500,89.3660
21.2500,71.9780,91.9220,86.8820,91.9220,89.3660
21.3333,71.9600,92.0120,86.9180,92.0120,89.3660
21.4167,71.9420,92.1020,86.9720,92.1020,89.3660
21.5000,71.9240,92.1920,87.0260,92.1920,89.3840
21.5833,71.9060,92.2640,87.0620,92.2640,89.3840
21.6667,71.8880,92.3540,87.1160,92.3540,89.3840
21.7500,71.8700,92.4440,87.1700,92.4440,89.3840
21.8333,71.8520,92.5340,87.2060,92.5340,89.3840
21.9167,71.8340,92.6060,87.2600,92.6060,89.3840
22.0000,71.8160,92.6960,87.3140,92.6960,89.3840
22.0833,71.7980,92.7860,87.3500,92.7860,89.3840
22.1667,71.7800,92.8760,87.4040,92.8760,89.3840
22.2500,71.7620,92.9480,87.4580,92.9480,89.3840
22.3333,71.7440,93.0380,87.4940,93.0380,89.3840
22.4167,71.7260,93.1280,87.5480,93.1280,89.3840
22.5000,71.7080,93.2000,87.6020,93.2000,89.3840
22.5833,71.6900,93.2900,87.6380,93.2900,89.3840
22.6667,71.6720,93.3800,87.6920,93.3800,89.4020
22.7500,71.6540,93.4520,87.7460,93.4520,89.4020
22.8333,71.6360,93.5420,87.7820,93.5420,89.4020
22.9167,71.6180,93.6320,87.8360,93.6320,89.4020
23.0000,71.6180,93.7040,87.8720,93.7040,89.4020
23.0833,71.6000,93.7940,87.9260,93.7940,89.4020
23.1667,71.5820,93.8840,87.9620,93.8840,89.4200
23.2500,71.5640,93.9560,88.0160,93.9560,89.4200
23.3333,71.5460,94.0460,88.0700,94.0460,89.4200
23.4167,71.5280,94.1180,88.1060,94.1180,89.4200
23.5000,71.5280,94.2080,88.1600,94.2080,89.4380
23.5833,71.5100,94.2980,88.1960,94.2980,89.4380
23.6667,71.4920,94.3700,88.2500,94.3700,89.4380
23.7500,71.4740,94.4600,88.2860,94.4600,89.4380
23.8333,71.4740,94.5320,88.3400,94.5320,89.4560
23.9167,71.4560,94.6220,88.3760,94.6220,89.4560
24.0000,71.4380,94.7120,88.4300,94.7120,89.4560
24.0833,71.4200,94.7840,88.4660,94.7840,89.4740
24.1667,71.4200,94.8740,88.5200,94.8740,89.4740
24.2500,71.4020,94.9460,88.5560,94.9460,89.4740
24.3333,71.3840,95.0360,88.6100,95.0360,89.4920
24.4167,71.3660,95.1080,88.6460,95.1080,89.4920
24.5000,71.3660,95.1980,88.7000,95.1980,89.4920
24.5833,71.3480,95.2880,88.7360,95.2880,89.5100
24.6667,71.3300,95.3600,88.7900,95.3600,89.5100
24.7500,71.3300,95.4500,88.8260,95.4500,89.5280
24.8333,71.3120,95.5220,88.8620,95.5220,89.5280
24.9167,71.2940,95.6120,88.9160,95.6120,89.5460
25.0000,71.2940,95.6840,88.9520,95.6840,89.5460
25.0833,71.2760,95.7740,89.0060,95.7740,89.5640
